Modern World Before & After,Oxford Alumni,Churches & Cathedrals,The Doctor Will "C" You Now,Billboard Top 40, Hittites
"Eternal" slogan for the homeland of Marvel's Black Panther & his favorite mall retail clothier,Wakanda Forever 21, Modern World Before & After,400
A Rhodes scholar he's the only U.S. president to have attended Oxford,Clinton,Oxford Alumni,400
The mother church for Christian Science is located in this city next to the Mary Baker Eddy Library,Boston,Churches & Cathedrals,400
Found in the liver. it helps make vitamin D; hope you have a lot more good than bad!,Cholesterol,The Doctor Will "C" You Now,400
Madonna touched No. 1 on the Billboard Top 40 "for the very first time" with this 1984 song,Like A Virgin, Billboard top 40,400
The Hittites entered history in the 2nd millennium B.C. in Anatolia; today the Asian portion of this nation,Turkey,Hittites,400
Harley Quinn; Deadshot & crew & those aspirational things they want to accomplish together,Suicide Squad Goals, Modern World Before & After, 800
While both were at Oxford; Benazir Bhutto introduced this recent British prime minister to her future husband Philip,Theresa May,Oxford Alumni,800
Begun in the 12th century Wells Cathedral has the distinction of being the first in England built entirely in this style,Gothic,Churches & Cathedrals, 800
Red blood cells must take things one at a time passing through one of these tiny blood vessels which can be .008mm,capillaries,The Doctor Will "C" You Now,800
"Hey Ya!"by this duo spent about 30 weeks in the Top 40 in 2003 & 2004, OutKast, Billboard top 40,800
Reliefs show the Hittites with the wheels on these vehicles moved from the back to the middle so a third warrior could ride,Chariots,Hittites,800
It's the term for when Skeletor's enemy that Masters of the Universe guy condescendingly clarifies to women,He-Mansplaining,Modern World Before & After,1200
We assume he was wearing a different kind of robe when he received his undergraduate degree in 1910,Lawrence of Arabia, Oxford Alumni,1200
In Italy the Cathedral of San Giovanni Battista houses this sacred burial cloth,The Shroud of Turin,Churches & Cathedrals,1200
When looking at areas of thickened skin on your feet these are larger & more shapeless than corns,callouses,The Doctor Will "C" You Now,1200
"Rockstar" by him featuring Roddy Ricch topped the Billboard charts in July 2020,Dababy,Billboard top 40,1200
In Hittite mythology Ubelluri held up the Earth just like this Titan,Atlas, Hittites, 1200
Numerical phrase for unflinchingly honest especially with regard to the British/French conflict that lasted from 1337 to 1453,Keeping It One Hundred Years War,Modern World Before & After,1600
Cameron & Tyler these twins who famously sued Mark Zuckerberg were on the rowing teams for Harvard & Oxford,the Winklevoss Twins,Oxford Alumni,1600
If you visit this New Mexico town stop by the San Francisco de Asis Church a favorite subject of painters,Taos,Churches & Cathedrals,1600
Hermes' wand this symbol of the U.S. Army Medical Corps is a staff with 2 serpents coiled around it,The Caduceus,The Doctor will "C" You Now,1600
ABBA had 14 songs on the Billboard chart but only this disco-themed one made it to No. 1,Dancing Queen,Billboard Top 40,1600
Written soon after a king died of this disease a prayer named for it asks will it "never be eliminated from the land of Hatti?,The Plague,Hittites,1600
Put your hands together & make noise for this term for a shade-filled retort to Nick Carter & his '90s band,Clap Backstreet boys,Modern World Before & After,2000
Seriously this actor who gets big laughs as "Mr. Bean" earned a master's degree in electrical engineering from Oxford,Rowan Atkinson,Oxford Alumni,2000
The Church of All Nations stands at the foot of this mount from which Jesus made his triumphal entry into Jerusalem,Mount of Olives,Churches & Cathedrals,2000
This rubbery tissue at the ends of long bones is also called gristle,Cartilage,THE DOCTOR WILL "C" YOU NOW,2000
"Weird Al" Yankovic made a foray into the Top 40 with this Michael Jackson parody,Eat it,Billboard Top 40,2000
Most of what we know about the Hittites comes from clay tablets found at Bogazkoy bearing this wedge-shaped writing system,Cuneiform,Hittites,2000
